8,Adini Yunan mitolojisindeki Ilham perisinden alan yer neresidir?,Galeri,Atolye,Tiyatro,Muze,D
1,Hangisi bir kisinin uzun sureden beri etrafta gorunmedigini ifade eder?,Kalb kalbe karsi,Yuzunu goren cennetlik,Ruzgar gibi gecti,Dunya donuyor,B
2,Hangisi halk arasinda dayinin esi cocuklari e kardesleri anlamindadir?,Dayilarim,Dayimgiller,Dayiminkiler,Dayim,B
3,El sikisirken yapilmaya devam eden pazarliklar hangi hayvanin adiyla anilir?,Keci,Deve,Koyun,Boga,C
1,Misafirin kullanmasi icin ozel olarak evde bulunan esya nedir?,Misafir Hirkasi,Misafir Sali,Misafir Mendili,Misafir Terligi,D
2,Hangisi hayal gucu anlamindadir?,Muasara,Muhayale,Munazara,Mutalaa,B
3,Receli ve serbeti yapilan buruk tatli kirmizi meyv nerdir?,Hunnap,Cagla,Kizilcik,Igde,C
4,Dinlediginiz sarkiyi kim seslendirmektedir?,Cem Karaca,Ekin Koray,Alpay,Ilhan Irem,A
5,TEM otoyolu ifadesindeki T ne demektir?,Trafik,Turkiye,Transit,Tarihi,C
6,Lostra salonundaki lostra ne demektir?,Ayakkabi Dikme,Ayakkabi Boyama,Ayakkabi Tamir,Ayakkabi Ismarlama,B
1,Bir konuda gec kalindigi ifade edilirken nerede sabah oldu denilir?,Uskudar,Kalamis,Heybeli,Camlica,A
2,Gobekli erkeklerin gobegi genellikle neye benzetilir?,Ayva,Karpuz,Balkon,Cumba,C
3,Uzerinde ziplanarak akrobatik hareketler yapilan yayli jimnastik araci nedir?,Parasaling,Barfiks,Trambolin,Kulplu Beygir,C
4,Sekerin karamelize edilmesiyle elde edilen pekmez gorunumlu eksi salata sosu hangi meyveden yapilir?,Portakal,Nar,Hurma,Seftali,B
5,TV'de dinlediginiz sarkiyi kim seslendirmektedir?,Muzeyyen Senar,Safiye Ayla,Behiye Aksoy,Muazzez Ersoy,A
6,Orumceklerin kac bacagi vardir?,6,8,10,12,B
1,Aileler kucuk cocuklari bir beden buyuk almaya ne diyerek ikna ederler?,Dokumlu Durur,Zayiflayinca giyersin,Kaliplari dar,Buyuyunce giyersin,D
2,Hangisi otogar demektir?,Mintika,Garaj,Tayyare,Sayfiye,B
3,Koyu pembe renkli tursusu olan salataya da konan  sebze nedir?,Pancar,Lahana,Havuc,Turp,A
4,Tropikal bolgelerde yasayan sirti dikenli genelde sabit duran kertenkele turu nedir?,Koala,Semender,Iguana,Armadilio,C
5,Bir masa uzerinde bulunan futbolcu maketlerini hareket ettirerek oynanan oyun hangisidir?,Go,Domino,Langirt,Tilt,C
6,Muzik yelpazasini suran efsane sunucu kimdir?,Orhan Boran,Halit Kivanc,Izzet Oz,Sezen Cumhur Onal,D
1,Hangisi ozellikle Turk filmlerinde anne icin yapilan bir benzetmedir?,Kralice,Melek,Sihirbaz,Denizkizi,B
2,Halk arasinda nazar buyu gibi durumlari onlemek icin genellikle hangisi yapilir?,Ayna kirmak,Tutsu yakmak,Kina yakmak,Kursun Dokturmek,D
3,Hangisi bir tur zeytin cinsidir?,Sele,Sepet,Kup,Sandik,A
4,Buzlanma veya karlanma yapmayan dondurma kapasitesi yuksek buzdolaplarina ne denir?,Fiber optik,Hibrit,No frost,Ankastre,C
5,Deniz kiyilarinda yetisen ozellikle balik lokantalarinda salatasi satilan deniz bitkisi nedir?,Borulce,Kuskus,Bakla,Marul,A
6,Soguga dayanakli renkli cicekler acan guzel kokulu bitki nedir?,Ortanca,Lale,Hanimeli,Leylak,D
7,TV'de dinlediginiz One Way ticket sarkisini hangi grup seslendirmektedir?,U2,Bee Gees,ABBA,Boney M,D
8,Alfred Hitchcock hangi filmi icin uyarladigi kitabi cok sayida satin alip sonunu ogrenilmesini engellemek istemistir?,Sapik,Halka,Kuslar,Arka Pencere,A
9,Mezar tasinda gokyuzunu olcerdim simdi dunyanin golgelerini olcecegim yazan bilim adami kimdir?,Kepler,Kopernik,Galileo,Newton,A
7,TV'de dinlediginiz 'Katip arzuhalim yaz yare boyle' turkusunun sozleri kime aittir?,Arif Sag,Pir Sultan Abdal,Karacaoglan,Dadaloglu,B
1,Fellik fellik aramak ne demektir?,Hirsla Aramak,Telasla Aramak,Dikkatlice Aramak,Sabirla Aramak,B
2,Nerelisin sorusundan hemen sonra hangisini sormak adettendir?,Kiyisindan mi?,Icinden mi?,Sahibinden mi?,Kiyisindan mi?,B
3,Pul zarfin neresine yapistirilir?,Sag ust kose,Sol ust kose,Sag alt kose,Sol alt kcse,A
4,Ozellikle 80li yillarda bir cok kisinin evinde olan sedir minder gibi esyalarin bulundugu koseye ne denir?,Amerikan bar,Kis bahcesi,Sark kosesi,Fiskos kosesi,C
5,Asirlik sozu ozellikle hangi agac icin kullanilir?,Mese,Kavak,Sogut,Cinar,D
6,Gectigimiz gunlerde gazeticilere tahti beklerken olecegim diyen velhat kimdir?,Prens Henry,Prens Edward,Prens Albert,PrensCharles,D
7,TV'de dinlediginiz 'Haydi Abbas..' diye baslayan siir hangi saire aittir?,Cahit Sitki Taranci,Orhan Veli Kanik,Fuzuli,Ahmet Hamdi Tanpinar,A
8,Hitchcock'un Kuslar filmi afisinde de yer alan ve filmde cokca gorulen kus turu nedir?,Sigircik,Guvercin,Karga,Kirlangic,C
